n k e v i t i k x <sep> k v e i n i k t x,1
v l x <sep> l x v,1
x q l <sep> q,0
b p k <sep> k p b,1
h b d y v t u <sep> h y v d t,0
g w h o y y x d <sep> x y h w y d g,0
l i h x m <sep> m l i x h,1
g e b n l <sep> l n q t g,0
x o f d l c l <sep> l c x d l,0
k w d j n p <sep> d n w k j p,1
d s f n <sep> s j v s,0
d u n u x a f <sep> x f a u d u n,1
n r z n <sep> r z,0
y k q n s i d z <sep> k i a q y s z y,0
h a s g y a m <sep> a h g s a,0
p k j f q g w w z <sep> p q z f k w j,0
c i l j l <sep> j i l,0
o o k u s y <sep> o u k o y s,1
i z e k <sep> e i,0
o g q a l e w <sep> q w o g a e,0
b q c w e k l f <sep> l k q w c f e b,1
n w k o u w o <sep> w u o k o,0
y w z <sep> y z w,1
e q b u w <sep> u e b q w,1
e m k k j y e <sep> k e m j k y e,1
k x p i v c c k b j <sep> j k p x k i w b l h,0
b i a a a d <sep> i a a a b d,1
l m z t <sep> t z l m,1
w a c y y u q <sep> y c w a q,0
h z m a p n c q x p <sep> z p m a c n h q x p,1
u v f j <sep> t u v j,0
g x x z p r i <sep> p x z r x i g,1
o m v b <sep> m v o b,1
v e s q w m n d d u <sep> s d w v d q u n m,0
w c b k x v d w k x <sep> v x c w d x b k w k,1
k g v h h l o d <sep> h o l v g k h,0
b q r f a b a <sep> b a f q b r a,1
i s r t j <sep> i s r t,0
n p f g t x <sep> h f x f g t,0
b l q c a n r x <sep> r c l a m b x n,0
c c t w s r s <sep> c w r s s c,0
r f u p j v <sep> r p v f,0
k f x g w <sep> x f w,0
w v o t w <sep> w t w o v,1
s z d u d g l w q w <sep> u z l w q g d s d w,1
u x g y v h p c h i <sep> v y i c h g h u p x,1
x f t k t t n w <sep> f k t f w x t d,0
u e i y l <sep> i e l y u,1
h l m t u g m n <sep> l h n m m g u t,1
z c t t e p z <sep> t m z e z t c,0
k b o <sep> b,0
x w q p e y <sep> w q y p e x,1
w h o z g v <sep> v z g w o,0
z s q f <sep> q z s,0
i j n q s z d h <sep> q i s d h z j n,1
q d u w d <sep> u w q d d,1
r z q e v <sep> q r z v e,1
w m w z d c w d f <sep> z c d w w d m w f,1
x n n j q <sep> n x n q j,1
y p i q f <sep> p f z q x,0
e k r <sep> k e r,1
z x l v f s <sep> l f s v x z,1
n e l <sep> e n l,1
e n v j h w <sep> h v j n w e,1
m z i n t a l o h <sep> t z a h m i o l,0
p c x <sep> q x c,0
v b l z c <sep> l v z b b,0
l x c d <sep> d c l x,1
k s r b x s <sep> s b x r s k,1
g z x u q d c p u <sep> q u z g d u x p c,1
r z w e g t g <sep> w r g z z t g,0
g o k w <sep> w g k o,1
i e e o d y b t n <sep> e d t e n o y b i,1
x h w v <sep> h x v w,1
r f x <sep> f r,0
e j m <sep> e,0
d j y m f s h q v <sep> h v y f q d m s j,1
q j y i y p <sep> p q i y,0
f w o u <sep> f e o k,0
a e f z j a y d t p <sep> d f j y a p a z t e,1
i r s o u u <sep> y i u o s u,0
s y t q k <sep> q t k s,0
q y u p f q s t <sep> f y p q t u q s,1
x z a o t w p d l <sep> p t z l o x d w a,1
v n x q z w k f <sep> x w v z k l q k,0
a m z a o r y <sep> o z a y m,0
z a r o f k s o h u <sep> o r a u s f k o h z,1
y e m t s j d v <sep> m i t m j e s v,0
m b u y v o h <sep> m u y b v o h,1
v w t b o d j k k <sep> j t o v d k w b,0
i r i t x s f w <sep> r z o w i i t f,0
c e z p x h g <sep> g x z h p,0
m t z m z f t i e e <sep> e z m m e i t f z t,1
v i n g h r o b <sep> v b r g n i o h,1
y o a <sep> o l a,0
i h w k o y n o x <sep> x y k o h o n w i,1
k r l n q t <sep> k r l n t q,1
k w v m p <sep> p w k m v,1
o d q j h f d n i <sep> f h n j d d i q o,1
l n j d f <sep> n d f,0
x o u y <sep> o u x y,1
c o a <sep> o a c,1
t b t o j x a k i e <sep> x r a b t j e i s k,0
g z f l l s r <sep> z l r s g f l,1
g h v <sep> l c h,0
i v l c <sep> i j m v,0
z x c a v s <sep> z v a c s,0
x d k a m w o d g <sep> k d o m a d x,0
g l e b <sep> b l g e,1
x s r d e w s y <sep> w r s y x d s e,1
i k r <sep> k i r,1
i t b <sep> i t b,1
g j f k <sep> j f,0
c b d m c <sep> d b c m x,0
l q x q y <sep> x y q l q,1
g r a o l l e q m <sep> q m a l r l o e g,1
z r o y j <sep> o r z y,0
x c h h g e j f c <sep> x h f e g c h c j,1
o u k e l t i q y t <sep> y i l e k o q t u t,1
e z h g m f l g a <sep> h g a x l f m g z,0
v e o <sep> e o v,1
j k e r <sep> r j k e,1
s o n a r g h <sep> s n h a r o g,1
q n q <sep> q q,0
y g g <sep> a w o,0
l f b u z <sep> f u b z,0
q r g <sep> q g r,1
e g f x f n z o <sep> g x z o f n e f,1
p b y u <sep> y u p b,1
t t k j w r a n i <sep> t w n a i k j r t,1
s d v <sep> d v,0
m q z c a l x <sep> a l c q m z x,1
z m y l k v <sep> m z l k v y,1
t q n z m w d g y b <sep> g m d n w b z q t y,1
m s o n <sep> n m s o,1
r q h z u v f <sep> r z v h h o u,0
c o l <sep> c,0
s l c c b <sep> c b s c l,1
a t j <sep> f g b,0
i l w t <sep> l t i w,1
v g o g <sep> g v g m,0
b p u y w v q <sep> p y b u v q w,1
k z v c x r d f h m <sep> d z k v h f c x m r,1
i d i b t q d f <sep> f i i b q d d t,1
e a p b h y q u j <sep> a x u b h z y e p,0
o i n i k c r t <sep> o t r n c i i k,1
u l y i l h d z z <sep> l y z u l z h d i,1
z f r f e <sep> e f r b v,0
m b k p f b <sep> p b b f k m,1
f m q i f j f s t <sep> s j t f f f q i,0
f b k s <sep> f k s b,1
q s v y b p <sep> z g l y b s,0
w l m a z o m <sep> l o z m m a,0
u n t a j f k n <sep> k j n r t a n u,0
l e v f c d g o <sep> f e c l e v g d,0
k i p n a x o <sep> p n i o k x a,1
e y f j <sep> j v f s,0
s o m j e e <sep> e s i e m j,0
u y v e x u r m i <sep> i m x e u v r u y,1
q e g i h c <sep> c g e q i h,1
x u q q q n n h i w <sep> x q q h q n n w i,0
z t e o q y o h <sep> z o y t o e q h,1
z e e <sep> z c e,0
w f o i m e n d n <sep> e n i o n w m,0
e i q m z m d r <sep> d r m z m q e i,1
y z b <sep> b y z,1
u o h k <sep> v u h u,0
u q d u i j m a v u <sep> j v u u d u q m i a,1
r q u b i f b g y <sep> i b r y n q u g f,0
d r j <sep> d d n,0
s n j d t l o v <sep> s t v n o l j d,1
q t s b y k z <sep> o s u z b g q,0
c f h p z c d y <sep> d z y n p c h o,0
x w m j v <sep> j w v x v,0
h f z x o n d n <sep> z d o f x h n n,1
a x f t e x w y y p <sep> a e x y x w p f y,0
e w b q e <sep> e w b e q,1
l i i m g n <sep> h g n i e l,0
a v r x i d c v <sep> v r x v c a,0
h h n <sep> e f k,0
g y q j u d x <sep> x d q u j,0
l q o s q <sep> i o q h e,0
k x o j j q w r j <sep> j r g w x o n l j,0
a s f f r l e o d t <sep> o f r l f s y e k a,0
h g z n q i b x m b <sep> z n i b x g b h q m,1
m x u r i f <sep> d f x m r i,0
t c q v v k j w n z <sep> s q z t t c v n v w,0
l o g x e d f e b <sep> e e x f b o g,0
e g c <sep> g e c,1
t o i e w q t u <sep> e t i t w u o,0
e z i s p <sep> z s p e i,1
z e f l <sep> e l z f,1
q w j d k w i h w v <sep> w j i q k v w h d w,1
c u o g z l m p <sep> n c z m m o u g,0
k b f o t q x t j <sep> x j q f t k o b,0
y q b o <sep> y q o b,1
k k j f w d u <sep> w k j k u d f,1
q s e a o q u <sep> q e q a o u s,1
c m u f h b <sep> u f b m h c,1
h j i u y s h p g u <sep> h u y j g h s i u p,1
d o l <sep> o l d,1
x n v u x h b c <sep> x v u c n x h b,1
u i s p r c q p p y <sep> p u x x p c y i s r,0
o x k <sep> q x n,0
n y p h f <sep> f h p y,0
y c t b a b b <sep> b y t b a,0
a w i d <sep> w i d a,1
i p p b f e <sep> p f p b i e,1
h d d q b v p r t <sep> h b q v t r d d p,1
y s l <sep> l s y,1
